#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Sound Card
#Serial Number: 
#Date Time: 2021-03-02 17:08:58.776
#Sample rate: 96000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.08506310483870967,-0.191741943359375,-0.191741943359375
-0.08505268817204301,-0.19488525390625,-0.194915771484375
-0.08504227150537634,-0.19757080078125,-0.197601318359375
-0.08503185483870968,-0.19970703125,-0.19970703125
-0.08502143817204301,-0.20172119140625,-0.20172119140625
-0.08501102150537634,-0.203887939453125,-0.20391845703125
-0.08500060483870968,-0.205780029296875,-0.205780029296875
-0.08499018817204301,-0.2070922851562488,-0.2070922851562488
-0.08497977150537635,-0.2082519531249989,-0.2082519531249989
-0.08496935483870967,-0.2098693847656264,-0.2098693847656264
-0.084958938172043,-0.2114257812500005,-0.2113952636718755
-0.08494852150537634,-0.211944580078125,-0.211944580078125
-0.08493810483870967,-0.212066650390625,-0.212066650390625
-0.08492768817204301,-0.213836669921875,-0.213836669921875
-0.08491727150537634,-0.217132568359375,-0.21710205078125
-0.08490685483870967,-0.217071533203125,-0.217041015625
-0.08489643817204301,-0.2071533203125,-0.2071533203125
-0.08488602150537634,-0.185394287109375,-0.1854248046875
-0.08487560483870968,-0.156707763671875,-0.15673828125
-0.08486518817204301,-0.1282653808594009,-0.1282653808594009
-0.08485477150537635,-0.1036071777343974,-0.1036071777343974
-0.08484435483870967,-0.08166503906248079,-0.08169555664060577
-0.084833938172043,-0.06054687499998138,-0.06054687499998138
-0.08482352150537634,-0.040069580078125,-0.040069580078125
-0.08481310483870967,-0.021240234375,-0.021209716796875
-0.08480268817204301,-0.004150390625,-0.004150390625
-0.08479227150537634,0.011932373046875,0.011932373046875
-0.08478185483870967,0.02740478515625,0.02740478515625
-0.08477143817204301,0.04193115234375,0.041900634765625
-0.08476102150537634,0.05517578125,0.05517578125
-0.08475060483870968,0.0675048828125,0.0675048828125
-0.08474018817204301,0.07922363281248934,0.07925415039061431
-0.08472977150537635,0.09036254882811487,0.0903625488281149
-0.08471935483870967,0.1007080078125087,0.1007080078125087
-0.084708938172043,0.1102905273437582,0.1102905273437582
-0.08469852150537634,0.11932373046875,0.11932373046875
-0.08468810483870967,0.127838134765625,0.127838134765625
-0.08467768817204301,0.135650634765625,0.135650634765625
-0.08466727150537634,0.142791748046875,0.142822265625
-0.08465685483870967,0.149505615234375,0.149505615234375
-0.08464643817204301,0.155853271484375,0.1558837890625
-0.08463602150537634,0.16180419921875,0.16180419921875
-0.08462560483870968,0.16717529296875,0.16717529296875
-0.08461518817204301,0.1721191406249955,0.1721191406249955
-0.08460477150537635,0.1767883300781208,0.1767578124999958
-0.08459435483870967,0.1811523437500036,0.1811828613281286
-0.084583938172043,0.1851196289062533,0.1851196289062533
-0.08457352150537634,0.188720703125,0.188720703125
-0.08456310483870967,0.19207763671875,0.19207763671875
-0.08455268817204301,0.195220947265625,0.195220947265625
-0.08454227150537634,0.19781494140625,0.19781494140625
-0.08453185483870967,0.199981689453125,0.199981689453125
-0.08452143817204301,0.202056884765625,0.202056884765625
-0.08451102150537634,0.20428466796875,0.20428466796875
-0.08450060483870968,0.2061767578125,0.206207275390625
-0.08449018817204301,0.207489013671875,0.20745849609375
-0.08447977150537635,0.2086486816406239,0.2086486816406239
-0.08446935483870967,0.2102966308593764,0.2102966308593764
-0.084458938172043,0.2118530273437505,0.2118530273437505
-0.08444852150537634,0.21240234375,0.212371826171875
-0.08443810483870967,0.2125244140625,0.2125244140625
-0.08442768817204301,0.214324951171875,0.21429443359375
-0.08441727150537634,0.21759033203125,0.217559814453125
-0.08440685483870967,0.217498779296875,0.217498779296875
-0.08439643817204301,0.20751953125,0.20751953125
-0.08438602150537634,0.185577392578125,0.185577392578125
-0.08437560483870968,0.15655517578125,0.156524658203125
-0.08436518817204301,0.127685546875,0.127655029296875
-0.08435477150537635,0.1027526855468977,0.1027832031250226
-0.08434435483870968,0.08084106445314493,0.08087158203126993
-0.084333938172043,0.05981445312498146,0.05978393554685649
-0.08432352150537634,0.0394287109375,0.0394287109375
-0.08431310483870967,0.02056884765625,0.02056884765625
-0.08430268817204301,0.00347900390625,0.00347900390625
-0.08429227150537634,-0.0125732421875,-0.0125732421875
-0.08428185483870967,-0.0279541015625,-0.0279541015625
-0.08427143817204301,-0.042388916015625,-0.04241943359375
-0.08426102150537634,-0.055633544921875,-0.055633544921875
